case,triangle_index,node_1,node_2,node_3,centroid_x,centroid_y,area,minimum_interior_angle_deg,mesh_quality_qc
stochastic_dfn,92,6339,6359,3436,-4.20626084741,-4.47421821962,0.00380489453788,46.7704722854,0.958269615471
stochastic_dfn,93,6334,6335,582,-3.979582476,-4.56420079319,0.00418006567589,55.9113740329,0.995719768007
stochastic_dfn,94,1201,6354,6044,-4.97701576008,-4.58084924054,0.0033503154992,40.3358546208,0.899625187148
stochastic_dfn,95,1798,6353,6328,-4.85335878661,-4.6404872606,0.00292785606099,43.116451549,0.92892344791
stochastic_dfn,96,3437,6333,3438,-4.12884754754,-4.34364249697,0.00542743753216,56.0458596002,0.994602007714
stochastic_dfn,97,6347,6348,6322,-4.87580041293,-4.49756653851,0.00331303181519,49.7476986644,0.959436078633
stochastic_dfn,98,6325,6348,6347,-4.88723066103,-4.45374422054,0.00352373374371,49.9728786228,0.970847383935
stochastic_dfn,99,5217,6346,1028,-4.75357394973,-4.51922384251,0.00325316776678,52.1211385107,0.983805819617
stochastic_dfn,100,3641,6349,5219,-4.87388310479,-4.30191766573,0.00309236969411,46.0399178598,0.88144968071
stochastic_dfn,101,6333,6345,3438,-4.06968076035,-4.33150426757,0.00463238097318,46.9364540043,0.960296595168
stochastic_dfn,102,3438,6360,574,-4.06080525535,-4.24322588836,0.00300804376475,38.5418046098,0.800468280818
stochastic_dfn,103,5218,6347,5217,-4.78777886564,-4.43561890247,0.00349546272989,49.4870136779,0.97339681686
stochastic_dfn,104,6337,6352,6046,-4.46631927495,-4.94955580819,0.00387525683763,48.4460885006,0.969510092823
stochastic_dfn,105,3278,6336,6335,-4.079262904,-4.62221732726,0.00450660475906,56.7254054598,0.995380353253
stochastic_dfn,106,5217,6347,6346,-4.79163260239,-4.4898864631,0.00305420900479,55.6571449223,0.994407381189
stochastic_dfn,107,6326,6356,2053,-4.53520521661,-4.8456369722,0.00344127755022,40.3886026129,0.813627248085
stochastic_dfn,108,2053,6352,6326,-4.5237437221,-4.88366946936,0.00395751457256,45.7089679008,0.87696280858
stochastic_dfn,109,6045,6352,2053,-4.56283422931,-4.93473443422,0.00456516252294,45.7729586235,0.940682375124
stochastic_dfn,110,3277,6340,489,-4.17450618959,-4.73613088936,0.00319180832064,53.7978181603,0.974551909118
stochastic_dfn,111,1543,6339,3278,-4.13382822701,-4.53412910509,0.00443530948109,49.7397969067,0.974676227743
stochastic_dfn,112,4258,6353,1798,-4.81124443672,-4.63876917607,0.00273025425205,43.0303596996,0.931375377697
stochastic_dfn,113,676,6350,1634,-3.7876799397,-4.4875554579,0.00313952393565,45.7616977073,0.940954404112
stochastic_dfn,114,5340,6338,582,-3.89208566827,-4.62556935668,0.00319712242772,53.7205597624,0.976805540661
stochastic_dfn,115,4258,6351,5216,-4.7330789061,-4.65670180581,0.00282032066148,39.4902255293,0.859772963431
stochastic_dfn,116,4474,6341,4473,-3.86411120655,-4.3816498785,0.0040906035013,52.0404417731,0.985991327911
stochastic_dfn,117,6328,6353,6322,-4.8672330178,-4.5902541227,0.00238440858911,48.0940958816,0.923486179958
stochastic_dfn,118,3276,6342,3277,-4.21127865976,-4.82212270335,0.00374227601342,54.2573235007,0.992899504771
stochastic_dfn,119,6044,6348,6043,-4.97602836187,-4.49216252844,0.00349424436242,52.2254510125,0.983672444463
stochastic_dfn,120,47,6355,2483,-3.63474499831,-4.63309571029,0.00332995825333,42.3345603801,0.858963746009
stochastic_dfn,121,6335,6336,3455,-4.03140626093,-4.65692281733,0.00437757719325,54.4635315331,0.991172212582
stochastic_dfn,122,2053,6358,6045,-4.61394210322,-4.93613195133,0.00467272214609,46.8098944729,0.948787765274
stochastic_dfn,123,6329,6343,5215,-4.68564823388,-4.79895986259,0.00460323261921,55.4612392561,0.990274646121
stochastic_dfn,124,6322,6354,6328,-4.89944567005,-4.57578719164,0.00240155224733,44.402370842,0.918711176165
stochastic_dfn,125,489,6340,6336,-4.12931197591,-4.70721616429,0.0034062083375,52.703014172,0.987512812725
stochastic_dfn,126,5215,6343,2053,-4.63475229592,-4.83483765813,0.00461079397558,52.8951835042,0.96917144293
stochastic_dfn,127,6046,6352,6045,-4.52524287655,-4.97487847396,0.00415358792987,45.438851896,0.949277925598
